date,slot,rank,rank_range,product_name,source,note,is_active,product_group,sub_group,original_product_group,exclude_from_opportunity
2026-05-15,pm,191,101-200,크레노필,naver_top200,Top200_확장후보,Y,health,영양제,건강식품,Y
2026-05-15,pm,192,101-200,텐텐,naver_top200,Top200_확장후보,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-05-15,pm,193,101-200,호박즙,naver_top200,Top200_확장후보,Y,health,건강진액,건강식품,Y
2026-05-15,pm,194,101-200,마카다미아,naver_top200,Top200_확장후보,Y,agri,농산물 원물,농산물,N
2026-05-15,pm,195,101-200,문어,naver_top200,Top200_확장후보,Y,seafood,생선/수산물,수산물,N
2026-05-15,pm,196,101-200,박카스,naver_top200,Top200_확장후보,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-05-15,pm,197,101-200,양파,naver_top200,Top200_확장후보,Y,agri,뿌리채소,농산물,N
2026-05-15,pm,198,101-200,철원오대쌀10kg,naver_top200,Top200_확장후보,Y,grain,쌀,농산물,N
2026-05-15,pm,199,101-200,녹용,naver_top200,Top200_확장후보,Y,health,건강식품,건강식품,Y
2026-05-15,pm,200,101-200,맥심화이트골드,naver_top200,Top200_확장후보,Y,processed,가공식품,브랜드_완제품,Y
2026-05-16,pm,21,21-50,루테인,naver_top200,21~50_전량수집,Y,health,영양제,건강식품,Y
2026-05-16,pm,22,21-50,창억떡,naver_top200,21~50_전량수집,Y,dessert,떡,브랜드_완제품,Y
2026-05-16,pm,23,21-50,감자,naver_top200,21~50_전량수집,Y,agri,뿌리채소,농산물,N
2026-05-16,pm,24,21-50,매실,naver_top200,21~50_전량수집,Y,agri,농산물 원물,농산물,N
2026-05-16,pm,25,21-50,레몬즙,naver_top200,21~50_전량수집,Y,processed,가공식품,가공식품,N
2026-05-16,pm,26,21-50,꽃게,naver_top200,21~50_전량수집,Y,seafood,갑각류,수산물,N
2026-05-16,pm,27,21-50,뉴케어구수한맛,naver_top200,21~50_전량수집,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-05-16,pm,28,21-50,망고,naver_top200,21~50_전량수집,Y,agri,농산물 원물,농산물,N
2026-05-16,pm,29,21-50,스타벅스미니컵,naver_top200,21~50_전량수집,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-05-16,pm,30,21-50,유산균,naver_top200,21~50_전량수집,Y,health,유산균,건강식품,Y
2026-05-16,pm,31,21-50,임박,naver_top200,21~50_전량수집,Y,unknown,임박상품,임박상품,Y
2026-05-16,pm,32,21-50,계란,naver_top200,21~50_전량수집,Y,meat,계란,가공식품,N
2026-05-16,pm,33,21-50,비타민c,naver_top200,21~50_전량수집,Y,health,영양제,건강식품,Y
2026-05-16,pm,34,21-50,뼈엔엠비피mbp,naver_top200,21~50_전량수집,Y,health,단백질/근육,브랜드_완제품,Y
2026-05-16,pm,35,21-50,멸균우유,naver_top200,21~50_전량수집,Y,processed,음료/차류,브랜드_완제품,Y
2026-05-16,pm,36,21-50,샤오커오라사탕,naver_top200,21~50_전량수집,Y,brand,브랜드/완제품,브랜드_완제품,Y
2026-05-16,pm,37,21-50,콘드로이친1200,naver_top200,21~50_전량수집,Y,health,건강식품,건강식품,Y
2026-05-16,pm,38,21-50,조선호텔김치,naver_top200,21~50_전량수집,Y,processed,김치/절임,브랜드_완제품,Y
2026-05-16,pm,39,21-50,단백질쉐이크,naver_top200,21~50_전량수집,Y,health,단백질/근육,브랜드_완제품,Y
2026-05-16,pm,40,21-50,포켓몬빵,naver_top200,21~50_전량수집,Y,dessert,베이커리/디저트,브랜드_완제품,Y
